product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,revenue_lost,is_marked_down,month,quarter,year_quarter,has_rating,rating_band,price_band,is_out_of_stock,is_dead_inventory
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,2025-08-06,16,4.1,False,,80.7,True,2025-08,Q3,2025-Q3,True,Excellent,Premium,False,False
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0.0,142.59,2025-08-06,1,3.7,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Premium,False,False
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,2025-08-06,42,,False,,7.27,True,2025-08,Q3,2025-Q3,False,,Budget,False,False
FB000022,Accessories,Zara,Spring,One Size,Brown,62.3,0.0,62.3,2024-09-24,10,2.5,False,,0.0,False,2024-09,Q3,2024-Q3,True,Fair,Mid-Range,False,False
FB000023,Accessories,Zara,Winter,One Size,Pink,38.48,0.0,38.48,2025-08-06,46,1.2,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Budget,False,False
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0.0,91.36,2025-08-06,37,1.2,True,Size Issue,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,2025-08-06,38,3.6,False,,23.42,True,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34.0,26.99,2025-06-11,16,3.7,False,,13.9,True,2025-06,Q2,2025-Q2,True,Good,Budget,False,False
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36.0,30.11,2025-08-06,25,1.1,True,Damaged,16.93,True,2025-08,Q3,2025-Q3,True,Poor,Budget,False,True
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0.0,53.37,2025-08-06,28,3.8,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0.0,114.35,2025-08-06,6,1.2,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Premium,False,False
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0.0,77.63,2024-10-24,1,,False,,0.0,False,2024-10,Q4,2024-Q4,False,,Mid-Range,False,False
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0.0,71.29,2025-08-06,37,4.1,True,Quality Issue,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,2025-04-16,5,,False,,9.13,True,2025-04,Q2,2025-Q2,False,,Budget,False,False
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0.0,143.78,2024-10-16,43,1.1,False,,0.0,False,2024-10,Q4,2024-Q4,True,Poor,Premium,False,False
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0.0,88.23,2025-08-06,44,1.6,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000035,Accessories,Forever21,Fall,One Size,Navy,58.57,0.0,58.57,2025-08-06,38,1.5,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,112.88,2025-08-06,37,4.9,False,,6.82,True,2025-08,Q3,2025-Q3,True,Excellent,Premium,False,False
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,50.67,2025-08-06,31,4.1,False,,46.39,True,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0.0,110.09,2025-08-06,32,3.4,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Premium,False,False
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,2025-08-06,10,,False,,28.18,True,2025-08,Q3,2025-Q3,False,,Luxury,False,False
FB000040,Bottoms,Banana Republic,Winter,Unknown,Purple,101.72,0.0,101.72,2025-08-06,40,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Premium,False,False
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0.0,117.86,2025-08-06,6,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Premium,False,False
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0.0,78.86,2025-08-06,22,4.3,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,105.05,2025-08-06,36,4.0,False,,111.11,True,2025-08,Q3,2025-Q3,True,Good,Luxury,False,False
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0.0,129.85,2025-04-25,36,3.3,False,,0.0,False,2025-04,Q2,2025-Q2,True,Good,Premium,False,False
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0.0,111.3,2025-08-06,11,1.7,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Premium,False,False
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0.0,73.65,2025-08-06,33,3.6,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,102.55,2025-08-06,13,4.4,False,,44.58,True,2025-08,Q3,2025-Q3,True,Excellent,Premium,False,False
FB000048,Accessories,Ann Taylor,Winter,One Size,Green,44.6,53.9,20.56,2025-08-06,42,2.4,False,,24.04,True,2025-08,Q3,2025-Q3,True,Fair,Budget,False,True
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0.0,101.8,2025-08-06,7,2.8,False,,0.0,False,2025-08,Q3,2025-Q3,True,Fair,Premium,False,False
FB000050,Accessories,Banana Republic,Summer,One Size,Brown,16.52,55.9,7.29,2025-08-06,43,,False,,9.23,True,2025-08,Q3,2025-Q3,False,,Budget,False,False
FB000051,Bottoms,H&M,Fall,M,Beige,50.91,0.0,50.91,2025-08-06,3,1.8,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000052,Outerwear,Forever21,Spring,S,White,222.26,0.0,222.26,2025-05-03,50,4.5,False,,0.0,False,2025-05,Q2,2025-Q2,True,Excellent,Luxury,False,False
FB000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,44.68,2025-08-06,14,1.8,False,,59.46,True,2025-08,Q3,2025-Q3,True,Poor,Premium,False,True
FB000054,Outerwear,Zara,Spring,S,White,166.76,0.0,166.76,2025-06-12,21,4.2,False,,0.0,False,2025-06,Q2,2025-Q2,True,Excellent,Luxury,False,False
FB000055,Accessories,Banana Republic,Fall,One Size,Black,44.13,50.9,21.67,2025-08-06,21,3.0,False,,22.46,True,2025-08,Q3,2025-Q3,True,Fair,Budget,False,False
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,2025-08-06,42,,False,,18.44,True,2025-08,Q3,2025-Q3,False,,Premium,False,False
FB000057,Tops,H&M,Spring,S,Beige,73.71,0.0,73.71,2025-07-10,35,3.9,True,Quality Issue,0.0,False,2025-07,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000058,Bottoms,Zara,Spring,XL,Brown,84.07,26.3,61.96,2024-10-25,19,2.3,True,Size Issue,22.11,True,2024-10,Q4,2024-Q4,True,Fair,Mid-Range,False,False
FB000059,Tops,Mango,Summer,XS,Black,28.59,0.0,28.59,2025-08-06,39,1.4,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Budget,False,False
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,162.16,2025-08-06,27,,False,,4.33,True,2025-08,Q3,2025-Q3,False,,Luxury,False,False
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,2025-08-06,15,4.0,False,,9.63,True,2025-08,Q3,2025-Q3,True,Good,Premium,False,False
FB000062,Outerwear,Gap,Fall,M,Purple,218.42,0.0,218.42,2025-08-06,33,4.4,True,Changed Mind,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Luxury,False,False
FB000063,Accessories,Forever21,Winter,One Size,White,46.17,1.1,45.66,2025-08-06,30,1.9,False,,0.51,True,2025-08,Q3,2025-Q3,True,Poor,Budget,False,False
FB000064,Shoes,H&M,Summer,Unknown,Green,106.18,18.0,87.07,2025-08-06,11,4.5,False,,19.11,True,2025-08,Q3,2025-Q3,True,Excellent,Premium,False,False
FB000065,Tops,Zara,Winter,XS,Gray,93.33,2.4,91.09,2025-08-06,20,4.2,False,,2.24,True,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000066,Bottoms,Mango,Spring,XS,White,86.54,21.7,67.76,2025-06-01,21,3.6,True,Changed Mind,18.78,True,2025-06,Q2,2025-Q2,True,Good,Mid-Range,False,False
FB000067,Accessories,Ann Taylor,Summer,One Size,Green,55.57,0.0,55.57,2025-08-06,44,3.8,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000068,Tops,Forever21,Spring,XL,Black,76.5,0.0,76.5,2025-01-26,17,4.6,False,,0.0,False,2025-01,Q1,2025-Q1,True,Excellent,Mid-Range,False,False
FB000069,Dresses,Forever21,Spring,XS,Green,137.19,9.5,124.16,2025-04-01,17,,False,,13.03,True,2025-04,Q2,2025-Q2,False,,Premium,False,False
FB000070,Tops,Zara,Summer,XL,Purple,48.92,19.8,39.23,2025-08-06,17,2.6,False,,9.69,True,2025-08,Q3,2025-Q3,True,Fair,Budget,False,False
FB000071,Shoes,Ann Taylor,Winter,XL,White,69.82,0.0,69.82,2025-08-06,46,,True,Wrong Item,0.0,False,2025-08,Q3,2025-Q3,False,,Mid-Range,False,False
FB000072,Outerwear,Mango,Summer,XXL,Red,199.39,7.4,184.64,2025-08-06,49,,False,,14.75,True,2025-08,Q3,2025-Q3,False,,Luxury,False,False
FB000073,Outerwear,Banana Republic,Summer,M,White,222.09,55.2,99.5,2025-08-06,21,4.5,False,,122.59,True,2025-08,Q3,2025-Q3,True,Excellent,Luxury,False,False
FB000074,Tops,Mango,Fall,XS,Red,112.86,0.0,112.86,2025-08-06,8,2.9,False,,0.0,False,2025-08,Q3,2025-Q3,True,Fair,Premium,False,False
FB000075,Dresses,Mango,Spring,XS,Green,100.96,0.0,100.96,2025-05-10,32,3.3,False,,0.0,False,2025-05,Q2,2025-Q2,True,Good,Premium,False,False
FB000076,Outerwear,Gap,Spring,XL,Green,243.56,48.0,126.65,2024-10-14,22,4.4,True,Changed Mind,116.91,True,2024-10,Q4,2024-Q4,True,Excellent,Luxury,False,False
FB000077,Dresses,Mango,Spring,XXL,Red,153.32,0.0,153.32,2024-09-13,43,2.9,False,,0.0,False,2024-09,Q3,2024-Q3,True,Fair,Luxury,False,False
FB000078,Accessories,Uniqlo,Fall,One Size,Purple,42.95,22.5,33.29,2025-08-06,7,1.9,True,Size Issue,9.66,True,2025-08,Q3,2025-Q3,True,Poor,Budget,False,False
FB000079,Tops,H&M,Summer,S,Green,30.79,0.0,30.79,2025-08-06,36,3.4,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Budget,False,False
FB000080,Accessories,Uniqlo,Fall,One Size,Brown,59.85,0.0,59.85,2025-08-06,38,4.0,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000081,Tops,Banana Republic,Spring,S,Navy,78.16,19.1,63.23,2025-07-25,23,,False,,14.93,True,2025-07,Q3,2025-Q3,False,,Mid-Range,False,False
FB000082,Tops,Ann Taylor,Fall,M,White,113.17,19.1,91.55,2025-08-06,15,4.9,False,,21.62,True,2025-08,Q3,2025-Q3,True,Excellent,Premium,False,False
FB000083,Dresses,Ann Taylor,Winter,S,Blue,174.13,0.0,174.13,2025-08-06,34,3.7,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Luxury,False,False
FB000084,Shoes,Zara,Summer,XS,Purple,191.96,0.0,191.96,2025-08-06,50,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Luxury,False,False
FB000085,Outerwear,Ann Taylor,Spring,XL,Beige,222.55,22.6,172.25,2025-02-10,50,,False,,50.3,True,2025-02,Q1,2025-Q1,False,,Luxury,False,False
FB000086,Bottoms,Forever21,Winter,XS,Black,37.85,11.9,33.35,2025-08-06,45,3.4,True,Changed Mind,4.5,True,2025-08,Q3,2025-Q3,True,Good,Budget,False,False
FB000087,Outerwear,Uniqlo,Summer,M,Gray,241.09,0.0,241.09,2025-08-06,26,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Luxury,False,False
FB000088,Dresses,Banana Republic,Spring,S,Navy,136.97,0.0,136.97,2024-10-25,17,4.4,True,Quality Issue,0.0,False,2024-10,Q4,2024-Q4,True,Excellent,Premium,False,False
FB000089,Shoes,H&M,Spring,M,Blue,113.79,55.3,50.86,2024-12-29,47,4.1,False,,62.93,True,2024-12,Q4,2024-Q4,True,Excellent,Premium,False,False
FB000090,Bottoms,H&M,Summer,XXL,White,93.23,40.0,55.94,2025-08-06,46,1.9,False,,37.29,True,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,True
FB000091,Shoes,Uniqlo,Spring,S,Navy,106.24,6.4,99.44,2024-09-09,50,1.5,False,,6.8,True,2024-09,Q3,2024-Q3,True,Poor,Premium,False,False
FB000092,Accessories,Zara,Winter,One Size,Brown,30.95,0.0,30.95,2025-08-06,27,3.1,True,Changed Mind,0.0,False,2025-08,Q3,2025-Q3,True,Good,Budget,False,False
FB000093,Shoes,Zara,Summer,S,Black,76.92,49.5,38.84,2025-08-06,7,1.1,False,,38.08,True,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,True
FB000094,Bottoms,H&M,Fall,XS,Beige,80.64,0.0,80.64,2025-08-06,26,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Mid-Range,False,False
FB000095,Bottoms,Zara,Fall,XS,Beige,32.46,52.4,15.45,2025-08-06,14,3.9,False,,17.01,True,2025-08,Q3,2025-Q3,True,Good,Budget,False,False
FB000096,Accessories,Gap,Summer,One Size,Black,54.79,0.0,54.79,2025-08-06,12,4.5,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000097,Bottoms,H&M,Winter,M,Pink,71.14,56.4,31.02,2025-08-06,12,3.4,False,,40.12,True,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000098,Bottoms,Ann Taylor,Summer,XXL,Navy,57.85,0.0,57.85,2025-08-06,36,3.5,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000099,Bottoms,Zara,Summer,XS,Green,33.37,3.0,32.37,2025-08-06,40,1.3,False,,1.0,True,2025-08,Q3,2025-Q3,True,Poor,Budget,False,False
FB000100,Tops,Gap,Summer,L,Black,91.83,0.0,91.83,2025-08-06,39,4.9,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000101,Bottoms,Zara,Fall,L,White,60.12,19.5,48.4,2025-08-06,42,1.0,False,,11.72,True,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000102,Dresses,Banana Republic,Winter,S,White,163.5,0.0,163.5,2025-08-06,34,4.9,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Luxury,False,False
FB000103,Dresses,Uniqlo,Spring,S,Beige,126.37,0.0,126.37,2024-11-08,25,1.8,False,,0.0,False,2024-11,Q4,2024-Q4,True,Poor,Premium,False,False
FB000104,Bottoms,Uniqlo,Winter,L,Navy,50.01,58.2,20.9,2025-08-06,32,4.8,False,,29.11,True,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000105,Shoes,H&M,Winter,S,Red,84.31,0.0,84.31,2025-08-06,10,3.9,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000106,Bottoms,Banana Republic,Spring,XL,Beige,100.98,0.0,100.98,2025-06-17,21,2.8,False,,0.0,False,2025-06,Q2,2025-Q2,True,Fair,Premium,False,False
FB000107,Bottoms,Banana Republic,Summer,M,Beige,38.02,0.0,38.02,2025-08-06,44,4.7,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Budget,False,False
FB000108,Bottoms,H&M,Fall,XL,Blue,63.85,0.0,63.85,2025-08-06,41,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Mid-Range,False,False
FB000109,Shoes,H&M,Fall,XS,Navy,183.15,0.0,183.15,2025-08-06,23,4.1,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Luxury,False,False
FB000110,Dresses,Zara,Winter,S,Gray,91.0,59.5,36.86,2025-08-06,5,3.9,False,,54.14,True,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000111,Outerwear,Uniqlo,Spring,L,Black,92.83,0.0,92.83,2025-07-20,9,1.2,False,,0.0,False,2025-07,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000112,Accessories,Banana Republic,Winter,One Size,Brown,34.45,0.0,34.45,2025-08-06,4,4.5,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Budget,False,False
FB000113,Dresses,H&M,Fall,S,Purple,128.15,50.0,64.08,2025-08-06,28,3.2,False,,64.07,True,2025-08,Q3,2025-Q3,True,Good,Premium,False,False
FB000114,Tops,Mango,Summer,XXL,Red,99.62,33.8,65.95,2025-08-06,27,2.1,False,,33.67,True,2025-08,Q3,2025-Q3,True,Fair,Mid-Range,False,True
FB000115,Bottoms,Forever21,Winter,S,Pink,87.39,25.5,65.11,2025-08-06,8,2.3,False,,22.28,True,2025-08,Q3,2025-Q3,True,Fair,Mid-Range,False,False
FB000116,Tops,Zara,Spring,XXL,Brown,49.67,0.0,49.67,2024-09-06,37,2.3,False,,0.0,False,2024-09,Q3,2024-Q3,True,Fair,Budget,False,False
FB000117,Accessories,Uniqlo,Fall,One Size,Brown,72.04,0.0,72.04,2025-08-06,48,,True,Wrong Item,0.0,False,2025-08,Q3,2025-Q3,False,,Mid-Range,False,False
FB000118,Dresses,Zara,Spring,M,Navy,133.82,0.0,133.82,2024-11-25,12,1.7,False,,0.0,False,2024-11,Q4,2024-Q4,True,Poor,Premium,False,False
FB000119,Bottoms,Uniqlo,Winter,S,Black,62.93,0.0,62.93,2025-08-06,49,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Mid-Range,False,False
FB000120,Outerwear,Zara,Spring,L,Red,248.58,0.0,248.58,2025-07-04,27,1.5,False,,0.0,False,2025-07,Q3,2025-Q3,True,Poor,Luxury,False,False
FB000121,Shoes,Uniqlo,Fall,XXL,Navy,61.08,0.0,61.08,2025-08-06,27,,True,Changed Mind,0.0,False,2025-08,Q3,2025-Q3,False,,Mid-Range,False,False
FB000122,Bottoms,Gap,Winter,S,Red,109.12,0.0,109.12,2025-08-06,34,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Premium,False,False
FB000123,Outerwear,Zara,Winter,XXL,Purple,82.91,45.9,44.85,2025-08-06,24,,True,Quality Issue,38.06,True,2025-08,Q3,2025-Q3,False,,Mid-Range,False,False
FB000124,Shoes,H&M,Summer,XS,Purple,113.53,10.9,101.16,2025-08-06,40,2.8,False,,12.37,True,2025-08,Q3,2025-Q3,True,Fair,Premium,False,False
FB000125,Accessories,Uniqlo,Winter,One Size,Brown,38.89,51.5,18.86,2025-08-06,28,4.3,False,,20.03,True,2025-08,Q3,2025-Q3,True,Excellent,Budget,False,False
FB000126,Dresses,Gap,Spring,XXL,Black,53.01,45.9,28.68,2025-01-14,37,3.7,False,,24.33,True,2025-01,Q1,2025-Q1,True,Good,Mid-Range,False,False
FB000127,Shoes,Ann Taylor,Spring,XXL,Blue,81.64,0.0,81.64,2024-12-06,50,1.1,False,,0.0,False,2024-12,Q4,2024-Q4,True,Poor,Mid-Range,False,False
FB000128,Shoes,Ann Taylor,Spring,XXL,White,125.24,21.5,98.31,2024-09-06,7,2.9,False,,26.93,True,2024-09,Q3,2024-Q3,True,Fair,Premium,False,False
FB000129,Outerwear,Ann Taylor,Spring,XS,Pink,98.61,0.0,98.61,2025-03-05,1,2.6,False,,0.0,False,2025-03,Q1,2025-Q1,True,Fair,Mid-Range,False,False
FB000130,Shoes,Gap,Fall,XS,Blue,77.54,0.0,77.54,2025-08-06,36,3.4,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000131,Dresses,Banana Republic,Spring,XL,Purple,79.13,0.0,79.13,2024-11-16,11,3.6,False,,0.0,False,2024-11,Q4,2024-Q4,True,Good,Mid-Range,False,False
FB000132,Bottoms,Mango,Spring,S,Green,96.11,0.0,96.11,2025-04-12,13,4.2,False,,0.0,False,2025-04,Q2,2025-Q2,True,Excellent,Mid-Range,False,False
FB000133,Tops,Mango,Spring,XL,White,116.61,0.0,116.61,2024-11-04,31,,False,,0.0,False,2024-11,Q4,2024-Q4,False,,Premium,False,False
FB000134,Accessories,Ann Taylor,Winter,One Size,Blue,57.8,27.0,42.19,2025-08-06,9,1.8,False,,15.61,True,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000135,Tops,H&M,Spring,S,White,110.78,0.0,110.78,2025-01-13,9,1.4,False,,0.0,False,2025-01,Q1,2025-Q1,True,Poor,Premium,False,False
FB000136,Tops,Gap,Spring,L,Black,112.63,0.0,112.63,2024-10-14,50,3.6,True,Quality Issue,0.0,False,2024-10,Q4,2024-Q4,True,Good,Premium,False,False
FB000137,Tops,H&M,Summer,XS,Purple,89.36,0.0,89.36,2025-08-06,24,4.3,True,Damaged,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000138,Outerwear,Forever21,Fall,M,Pink,127.99,0.0,127.99,2025-08-06,16,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Premium,False,False
FB000139,Bottoms,Zara,Winter,XXL,Beige,54.88,58.8,22.61,2025-08-06,50,3.5,False,,32.27,True,2025-08,Q3,2025-Q3,True,Good,Mid-Range,False,False
FB000140,Shoes,Uniqlo,Spring,L,White,154.13,0.0,154.13,2024-10-01,31,4.1,True,Size Issue,0.0,False,2024-10,Q4,2024-Q4,True,Excellent,Luxury,False,False
FB000141,Dresses,Ann Taylor,Spring,XS,Gray,131.5,0.0,131.5,2024-11-03,5,,False,,0.0,False,2024-11,Q4,2024-Q4,False,,Premium,False,False
FB000142,Outerwear,Gap,Summer,M,Blue,133.26,0.0,133.26,2025-08-06,29,1.3,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Premium,False,False
FB000143,Shoes,Forever21,Winter,XL,Red,173.91,0.0,173.91,2025-08-06,21,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Luxury,False,False
FB000144,Tops,H&M,Spring,L,Beige,102.99,0.0,102.99,2025-07-16,41,3.9,False,,0.0,False,2025-07,Q3,2025-Q3,True,Good,Premium,False,False
FB000145,Outerwear,Zara,Spring,L,Beige,87.78,45.3,48.02,2025-02-17,34,1.8,False,,39.76,True,2025-02,Q1,2025-Q1,True,Poor,Mid-Range,False,True
FB000146,Tops,Uniqlo,Winter,Unknown,Beige,91.8,15.8,77.3,2025-08-06,30,4.2,False,,14.5,True,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000147,Tops,Zara,Winter,L,White,107.32,25.4,80.06,2025-08-06,50,4.4,False,,27.26,True,2025-08,Q3,2025-Q3,True,Excellent,Premium,False,False
FB000148,Bottoms,Banana Republic,Spring,XXL,Brown,67.69,57.3,28.9,2025-07-24,50,4.6,False,,38.79,True,2025-07,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
FB000149,Tops,Ann Taylor,Summer,M,Beige,68.11,46.0,36.78,2025-08-06,3,2.5,False,,31.33,True,2025-08,Q3,2025-Q3,True,Fair,Mid-Range,False,False
FB000150,Shoes,Banana Republic,Spring,L,Blue,94.29,0.0,94.29,2024-09-15,18,1.7,False,,0.0,False,2024-09,Q3,2024-Q3,True,Poor,Mid-Range,False,False
FB000151,Tops,Ann Taylor,Winter,XL,Gray,94.97,0.0,94.97,2025-08-06,46,4.3,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Mid-Range,False,False
